run,subrun,event,col_wire,col_time,ind_wire,ind_time
8591,207,20229,31,1114,18,1096
8591,210,20517,32,926,16,908
8591,210,20520,27,1080,23,1060
8591,216,21114,25,1076,25,1058
8591,219,21449,19,1311,29,1291
8591,227,22225,24,924,24,887
8591,229,22401,24,1115,28,1105
8591,249,24312,34,1534,9,1487
8591,252,24610,31,1292,18,1267
8591,253,24716,17,1455,32,1429
8591,254,24780,28,1042,20,1012
8591,258,25208,23,1402,24,1366
8591,258,25238,34,1309,13,1284
8591,275,26943,21,1049,27,1032
8591,277,27074,34,1102,14,1085
8591,277,27083,16,1027,31,998
8591,280,27361,35,1436,13,1405
8591,281,27446,20,1496,29,1484
8591,283,27656,20,1453,29,1433
8591,286,27929,26,1030,23,994
8591,287,28012,33,944,14,918
8591,296,28880,25,1411,24,1382
8591,297,28976,24,1323,25,1299
8591,301,29365,33,1155,15,1137
8591,304,29651,25,1324,23,1296
8591,313,30489,30,1144,18,1114
8591,317,30844,31,1244,19,1223
8591,326,31668,28,1265,25,1256
8591,327,31778,26,1061,24,1040
8591,334,32427,19,956,32,956
8591,338,32786,29,1018,19,999
8591,340,32969,17,1668,32,1645
8591,340,32979,93,802,26,996
8591,343,33274,35,1306,13,1288
8591,344,33343,23,1162,24,1138
8591,345,33428,35,1368,13,1349
8595,3,290,17,1148,31,1112
8595,7,682,34,1446,14,1428
8595,12,1167,28,1331,21,1301
8595,17,1612,31,947,18,928
8595,19,1789,23,1276,25,1256
8595,42,3962,31,998,16,953
8595,43,4034,33,1326,15,1289
8595,43,4056,32,1292,18,1267
8595,44,4143,22,1261,26,1231
8595,45,4229,26,1043,23,1022
8595,49,4666,29,904,24,897
8595,51,4842,19,1010,29,977
8595,52,4933,29,983,20,955
8595,56,5293,23,1026,25,999
8595,62,5824,31,1218,17,1194
8595,66,6188,33,1241,14,1209
8595,66,6196,25,1193,23,1152
8595,67,6286,28,1251,21,1223
8595,70,6544,21,1629,27,1589
8595,75,6976,25,1520,24,1487
