run,subrun,event
8605,30,2875
8605,87,8133
8605,87,8134
8605,94,8765
8605,94,8766
8605,109,10081
8605,109,10094
8605,169,15355
8605,182,16548
8605,192,17440
8605,197,17897
8605,215,19497
8591,216,21114
8591,247,24111
8591,252,24610
8591,283,27652
8591,283,27656
8591,285,27838
8591,304,29651
8591,309,30113
8591,317,30844
8591,340,32969
8591,340,32979
8591,340,32989
8591,345,33428
8605,42,3923
8605,42,3936
8605,44,4121
8605,44,4126
8605,83,7776
8605,95,8860
8605,102,9427
8605,103,9519
8605,131,11950
8605,138,12597
8605,150,13685
8605,167,15178
8605,189,17170
8605,224,20325
8605,237,21485
8605,243,22017
8605,271,24637
8605,283,25718
8605,283,25719
8605,283,25738
8605,288,26187
8605,293,26551
8605,298,26992
8591,326,31668
8591,330,32047
8591,344,33343
8605,35,3375
8605,45,4193
8605,75,7032
8605,84,7864
8605,84,7888
8605,93,8650
8605,172,15649
8605,199,18075
8605,199,18093
8605,202,18336
8605,202,18354
8605,208,18843
8605,208,18844
8605,217,19679
8605,217,19697
8605,225,20432
8605,225,20442
8605,267,24276
8605,277,25183
8605,277,25188
8605,277,25191
8605,281,25539
8605,286,25983
8605,328,29608
8605,331,29853
8605,342,30822
8605,350,31539
8605,351,31615
8605,356,32084
8605,360,32440
8605,361,32506
8605,363,32685
8605,363,32697
8605,374,33635
8605,380,34165
8605,394,35347
8605,269,24448
8605,304,27507
8605,310,28053
8605,321,29005
8605,323,29163
8605,327,29526
8605,330,29750
8605,330,29762
8605,335,30198
8605,336,30304
8605,340,30654
8605,341,30740
8605,349,31439
8605,353,31819
8605,358,32255
8605,362,32586
8605,362,32588
8605,372,33427
8605,375,33730
8605,381,34293
8605,389,34908
8605,390,34986
8605,397,35641
8605,400,35932
8605,402,36078
8605,406,36436
8605,406,36448
8605,406,36459
8605,414,37099
8605,420,37684
8605,421,37745
8605,425,38099
8605,430,38585
8605,445,39978
8605,447,40187
8605,447,40190
8605,451,40586
8605,458,41230
8591,4,236
8591,4,257
8591,10,813
8591,23,2161
8591,47,4536
8591,53,5070
8591,60,5734
8591,63,6009
8591,67,6428
8591,68,6503
8591,68,6507
8591,68,6518
8591,81,7782
8591,91,8770
8591,94,9066
8591,99,9580
8591,143,13980
8591,149,14561
8591,184,17975
8591,184,17984
8591,186,18179
8591,188,18390
8591,207,20229
8591,219,21449
8591,229,22401
8591,234,22884
8606,251,23523
8606,265,24871
8606,265,24875
8606,284,26580
8606,284,26582
8606,284,26589
8606,285,26667
8606,289,26968
8606,299,27920
8606,307,28639
8606,308,28736
8606,312,29087
8606,333,30892
8606,333,30910
8606,340,31589
8606,340,31590
8606,340,31603
8591,5,340
8591,6,440
8591,13,1087
8591,13,1106
8591,14,1201
8591,15,1327
8591,20,1825
8591,25,2344
8591,25,2348
8591,28,2642
8591,33,3125
8591,34,3227
8591,34,3235
8591,35,3320
8591,69,6595
8591,69,6602
8591,78,7461
8591,78,7464
8591,78,7471
8591,80,7672
8591,80,7673
8591,90,8640
8591,98,9479
8591,103,9976
8591,109,10553
8591,109,10560
8591,146,14264
8591,147,14377
8591,154,15031
8591,154,15039
8591,169,16477
8591,169,16479
8591,169,16492
8591,169,16496
8591,171,16719
8591,171,16732
8591,187,18279
8591,191,18648
8591,201,19623
8591,227,22225
8591,263,25731
8591,267,26135
8591,275,26943
8591,280,27361
8591,286,27929
8591,296,28878
8591,296,28880
8591,303,29550
8591,1,20
8591,1,29
8591,22,2049
8591,32,3022
8591,36,3412
8591,66,6304
8591,66,6315
8591,66,6327
8591,87,8361
8591,87,8379
8591,87,8383
8591,97,9366
8591,107,10371
8591,119,11584
8591,119,11592
8591,123,11979
8591,235,22948
8591,254,24780
8591,270,26461
8591,297,28976
8591,332,32242
8591,343,33274
8605,9,972
8605,14,1431
8605,25,2420
8605,25,2433
8605,33,3149
8605,46,4305
8605,63,5846
8605,69,6459
8605,70,6547
8605,108,10001
8605,111,10256
8605,133,12142
8605,164,14938
8605,165,15000
8605,180,16360
8605,180,16369
8605,184,16712
