run,subrun,event
8743,65,7058
8743,73,7810
8743,75,7991
8743,90,9447
8743,95,9939
8743,112,11616
8743,114,11829
8743,129,13326
8743,181,18477
8743,280,28127
8743,280,28128
8743,337,33746
8743,386,38526
8743,402,40137
8743,405,40447
8652,261,20472
8652,263,20626
8652,263,20631
8652,274,21425
8652,337,26273
8652,351,27373
8652,423,33460
8652,438,34687
8652,439,34792
8652,466,36778
8743,14,1973
8743,30,3608
8743,66,7142
8743,100,10417
8743,104,10827
8743,126,13037
8743,185,18863
8743,191,19369
8743,302,30264
8743,344,34469
8743,55,6149
8743,55,6150
8743,88,9245
8743,120,12429
8743,136,14083
8743,245,24669
8743,329,32921
8743,406,40555
8743,410,41002
8743,414,41375
8743,421,42090
8743,428,42729
8743,433,43229
8743,10,1531
8743,18,2377
8743,29,3504
8743,96,10027
8743,103,10714
8743,115,11919
8743,130,13438
8743,144,14888
8743,184,18751
8743,193,19560
8743,195,19736
8743,223,22468
8743,284,28529
8743,297,29789
8743,300,30052
8743,356,35677
8743,366,36669
8743,366,36670
8743,366,36676
8743,423,42268
8652,135,11224
8652,153,12556
8652,160,13062
8652,162,13201
8652,164,13352
8652,172,14010
8652,176,14318
8652,192,15619
8652,215,17165
8652,224,17856
8652,226,18018
8652,234,18539
8652,244,19243
8652,248,19519
8652,256,20104
8652,258,20236
8652,276,21566
8652,276,21595
8652,278,21715
8652,279,21812
8652,284,22163
8652,292,22798
8652,315,24624
8652,349,27216
8652,369,28633
8652,372,28853
8652,374,28977
8652,400,30799
8652,417,32258
8652,426,33733
8652,452,35614
8652,34,2710
8652,36,2865
8652,38,3020
8652,39,3112
8652,45,3604
8652,47,3769
8652,49,3961
8652,70,5692
8652,71,5761
8652,71,5770
8652,72,5853
8652,91,7241
8652,91,7247
8652,91,7270
8652,131,10826
8658,390,29924
8658,415,31991
8658,466,35359
8652,118,9565
8652,134,11116
8652,140,11580
8652,148,12160
8652,157,12864
8652,166,13519
8652,182,14808
8652,182,14830
8652,182,14832
8652,183,14898
8652,185,15064
8652,235,18611
8652,241,19015
8652,246,19367
8652,253,19891
8652,357,27851
8652,404,31185
8652,419,32421
8652,432,34238
8652,434,34379
8652,460,36269
8652,462,36419
8652,477,37533
